"","Standardized","V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","Long","Lat","lon","lat"
"68","Cipro",9439,20,"Cipri","Ciprio","PROPN","SP","_",21,"obl","_","_",NA,NA,NA,NA,-71.1375382,42.6958514
"69","Corfù",1717,61,"Gurfo","Gurfo","PROPN","SP","_",59,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,19.9216777,39.6242621
"70","Corfù",2465,12,"Gurfo","Gurfo","PROPN","SP","_",8,"nmod","_","_",NA,NA,NA,NA,19.9216777,39.6242621
"71","Corfù",32,28,"Gurfo","Gurfo","PROPN","SP","_",1,"conj","_","_",NA,NA,NA,NA,19.9216777,39.6242621
"72","Cornovaglia",3940,16,"Cornovaglia","Cornovaglia","PROPN","SP","_",14,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-5.0527125,50.2660471
"73","Creta",9352,76,"Creti","Crete","PROPN","SP","_",72,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-99.5498137,34.5167395
"74","Egina",6316,19,"Egina","Egina","PROPN","SP","_",13,"nmod","_","_",NA,NA,NA,NA,23.5014213,37.7408815
"75","Egitto",8307,30,"Egitto","Egitto","PROPN","SP","_",28,"nmod","_","_",NA,NA,NA,NA,30.802498,26.820553
"76","Famagosta",8537,17,"Famagosta","Famagosta","PROPN","SP","_",15,"nmod","_","_",NA,NA,NA,NA,33.919245,35.1149116
"77","Famagosta",8114,15,"Famagosta","Famagosta","PROPN","SP","_",13,"nmod","_","_",NA,NA,NA,NA,33.919245,35.1149116
"78","Famagosta",8735,23,"Famagosta","Famagorre","PROPN","SP","_",25,"obl","_","_",NA,NA,NA,NA,33.919245,35.1149116
"79","Ferrara",195,12,"Ferrara","Ferrara","PROPN","SP","_",9,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,11.619787,44.8381237
"80","Ferrara",226,42,"Ferrara","Ferrara","PROPN","SP","_",40,"obl","_","_",NA,NA,NA,NA,11.619787,44.8381237
"81","Finale Ligure",3783,26,"Finale","finale","PROPN","SP","_",23,"obl","_","SpaceAfter=No",NA,NA,NA,NA,8.3416211,44.1689028
"82","Firenze",846,10,"Firenze","Firenze","PROPN","SP","_",8,"nmod","_","_",NA,NA,NA,NA,11.2558136,43.7695604
"83","Firenze",3793,18,"Firenze","Firenze","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA,NA,NA,11.2558136,43.7695604
"84","Firenze",3872,24,"Firenze","Firenze","PROPN","SP","_",22,"obl","_","SpaceAfter=No",NA,NA,NA,NA,11.2558136,43.7695604
"85","Firenze",915,16,"Firenze","Firenze","PROPN","SP","_",14,"nmod","_","_",NA,NA,NA,NA,11.2558136,43.7695604
"86","Firenze",2305,36,"Firenze","Firenze","PROPN","SP","_",41,"obl","_","_",NA,NA,NA,NA,11.2558136,43.7695604
"87","Firenze",4009,41,"Firenze","Firenze","PROPN","SP","_",39,"obl","_","SpaceAfter=No",NA,NA,NA,NA,11.2558136,43.7695604
"88","Firenze",1213,47,"Firenze","Firenze","PROPN","SP","_",56,"obl","_","_",NA,NA,NA,NA,11.2558136,43.7695604
"89","Firenze",972,70,"Firenze","Firenze","PROPN","SP","_",68,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,11.2558136,43.7695604
"90","Francia",1398,34,"Francia","Francia","PROPN","SP","_",32,"nmod","_","_",NA,NA,NA,NA,2.213749,46.227638
"91","Francia",6670,9,"Francia","Francia","PROPN","SP","_",7,"nmod","_","_",NA,NA,NA,NA,2.213749,46.227638
"92","Francia",438,74,"Francia","Francia","PROPN","SP","_",72,"nmod","_","_",NA,NA,NA,NA,2.213749,46.227638
"93","Francia",584,9,"Francia","Francia","PROPN","SP","_",7,"nmod","_","_",NA,NA,NA,NA,2.213749,46.227638
"94","Francia",9456,37,"Francia","Francia","PROPN","SP","_",35,"nmod","_","_",NA,NA,NA,NA,2.213749,46.227638
"95","Francia",6503,27,"Francia","Francia","PROPN","SP","_",25,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,2.213749,46.227638
"96","Francia",323,55,"Francia","Francia","PROPN","SP","_",53,"nmod","_","_",NA,NA,NA,NA,2.213749,46.227638
"97","Francia",56,11,"Francia","Francia","PROPN","SP","_",9,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,2.213749,46.227638
"98","Gaeta",224,8,"Gaeta","Gaeta","PROPN","SP","_",4,"nmod","_","_",NA,NA,NA,NA,13.5714285,41.2107299
"99","Galles",2521,30,"Gales","Gales","PROPN","SP","_",28,"nmod","_","_",NA,NA,NA,NA,36.0689015,-95.9211573
"100","Galles",5180,6,"Gales","Gales","PROPN","SP","_",16,"obl","_","_",NA,NA,NA,NA,36.0689015,-95.9211573
"101","Genova",3050,21,"Genova","Genova","PROPN","SP","_",19,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-82.568876,35.609611
"102","Genova",5261,22,"Genova","Genova","PROPN","SP","_",20,"obl","_","_",NA,NA,NA,NA,-82.568876,35.609611
"103","Genova",548,11,"Genova","Genova","PROPN","SP","_",6,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-82.568876,35.609611
"104","Genova",2002,124,"Genova","Genova","PROPN","SP","_",122,"obl","_","_",NA,NA,NA,NA,-82.568876,35.609611
"105","Genova",3610,9,"Genova","Genova","PROPN","SP","_",7,"obl","_","_",NA,NA,NA,NA,-82.568876,35.609611
"106","Genova",3111,6,"Genova","Genova","PROPN","SP","_",4,"obl","_","_",NA,NA,NA,NA,-82.568876,35.609611
"107","Genova",2105,18,"Genova","Genova","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-82.568876,35.609611
"108","Genova",68,29,"Genova","Genova","PROPN","SP","_",27,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-82.568876,35.609611
"109","Genova",1931,57,"Genova","Genova","PROPN","SP","_",55,"obl","_","_",NA,NA,NA,NA,-82.568876,35.609611
"110","Genova",1955,35,"Genova","Genova","PROPN","SP","_",37,"obl","_","_",NA,NA,NA,NA,-82.568876,35.609611
"111","Genova",5369,4,"Genova","Genova","PROPN","SP","_",5,"obl","_","_",NA,NA,NA,NA,-82.568876,35.609611
"112","Genova",5358,18,"Genova","Genova","PROPN","SP","_",15,"conj","_","_",NA,NA,NA,NA,-82.568876,35.609611
"113","Genova",2992,16,"Genova","Genova","PROPN","SP","_",14,"nmod","_","_",NA,NA,NA,NA,-82.568876,35.609611
"114","Genova",7,3,"Genova","Genova","PROPN","SP","_",1,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-82.568876,35.609611
"115","Gerusalemme",9479,59,"Ierusalem","Ierusalem","PROPN","SP","_",60,"obl","_","_",NA,NA,NA,NA,35.21371,31.768319
