"","V2","V0","V1","V3.x","V4","V5","V6","V7","V8","V9","V10","V11","V12","X","Standardized","V3.y","lon","lat"
"91","Atene",5867,18,"Atene","PROPN","SP","_",10,"obl","_","_",NA,NA,41,"Atene","Atene",23.7275388,37.9838096
"92","Atene",5231,45,"Atene","PROPN","SP","_",43,"nmod","_","_",NA,NA,39,"Atene","Atene",23.7275388,37.9838096
"93","Atene",5231,45,"Atene","PROPN","SP","_",43,"nmod","_","_",NA,NA,38,"Atene","Atene",23.7275388,37.9838096
"94","Atene",5231,45,"Atene","PROPN","SP","_",43,"nmod","_","_",NA,NA,36,"Atene","Atene",23.7275388,37.9838096
"95","Atene",5231,45,"Atene","PROPN","SP","_",43,"nmod","_","_",NA,NA,37,"Atene","Atene",23.7275388,37.9838096
"96","Atene",5231,45,"Atene","PROPN","SP","_",43,"nmod","_","_",NA,NA,35,"Atene","Atene",23.7275388,37.9838096
"97","Atene",5231,45,"Atene","PROPN","SP","_",43,"nmod","_","_",NA,NA,42,"Atene","Atene",23.7275388,37.9838096
"98","Atene",5231,45,"Atene","PROPN","SP","_",43,"nmod","_","_",NA,NA,40,"Atene","Atene",23.7275388,37.9838096
"99","Atene",5231,45,"Atene","PROPN","SP","_",43,"nmod","_","_",NA,NA,41,"Atene","Atene",23.7275388,37.9838096
"100","Atene",4870,68,"Atene","PROPN","SP","_",71,"obl","_","_",NA,NA,39,"Atene","Atene",23.7275388,37.9838096
"101","Atene",4870,68,"Atene","PROPN","SP","_",71,"obl","_","_",NA,NA,38,"Atene","Atene",23.7275388,37.9838096
"102","Atene",4870,68,"Atene","PROPN","SP","_",71,"obl","_","_",NA,NA,36,"Atene","Atene",23.7275388,37.9838096
"103","Atene",4870,68,"Atene","PROPN","SP","_",71,"obl","_","_",NA,NA,37,"Atene","Atene",23.7275388,37.9838096
"104","Atene",4870,68,"Atene","PROPN","SP","_",71,"obl","_","_",NA,NA,35,"Atene","Atene",23.7275388,37.9838096
"105","Atene",4870,68,"Atene","PROPN","SP","_",71,"obl","_","_",NA,NA,42,"Atene","Atene",23.7275388,37.9838096
"106","Atene",4870,68,"Atene","PROPN","SP","_",71,"obl","_","_",NA,NA,40,"Atene","Atene",23.7275388,37.9838096
"107","Atene",4870,68,"Atene","PROPN","SP","_",71,"obl","_","_",NA,NA,41,"Atene","Atene",23.7275388,37.9838096
"108","Atene",5123,61,"Atene","PROPN","SP","_",59,"nmod","_","_",NA,NA,39,"Atene","Atene",23.7275388,37.9838096
"109","Atene",5123,61,"Atene","PROPN","SP","_",59,"nmod","_","_",NA,NA,38,"Atene","Atene",23.7275388,37.9838096
"110","Atene",5123,61,"Atene","PROPN","SP","_",59,"nmod","_","_",NA,NA,36,"Atene","Atene",23.7275388,37.9838096
"111","Atene",5123,61,"Atene","PROPN","SP","_",59,"nmod","_","_",NA,NA,37,"Atene","Atene",23.7275388,37.9838096
"112","Atene",5123,61,"Atene","PROPN","SP","_",59,"nmod","_","_",NA,NA,35,"Atene","Atene",23.7275388,37.9838096
"113","Atene",5123,61,"Atene","PROPN","SP","_",59,"nmod","_","_",NA,NA,42,"Atene","Atene",23.7275388,37.9838096
"114","Atene",5123,61,"Atene","PROPN","SP","_",59,"nmod","_","_",NA,NA,40,"Atene","Atene",23.7275388,37.9838096
"115","Atene",5123,61,"Atene","PROPN","SP","_",59,"nmod","_","_",NA,NA,41,"Atene","Atene",23.7275388,37.9838096
"116","Atene",5765,17,"Atene","PROPN","SP","_",14,"nmod","_","_",NA,NA,39,"Atene","Atene",23.7275388,37.9838096
"117","Atene",5765,17,"Atene","PROPN","SP","_",14,"nmod","_","_",NA,NA,38,"Atene","Atene",23.7275388,37.9838096
"118","Atene",5765,17,"Atene","PROPN","SP","_",14,"nmod","_","_",NA,NA,36,"Atene","Atene",23.7275388,37.9838096
"119","Atene",5765,17,"Atene","PROPN","SP","_",14,"nmod","_","_",NA,NA,37,"Atene","Atene",23.7275388,37.9838096
"120","Atene",5765,17,"Atene","PROPN","SP","_",14,"nmod","_","_",NA,NA,35,"Atene","Atene",23.7275388,37.9838096
"121","Atene",5765,17,"Atene","PROPN","SP","_",14,"nmod","_","_",NA,NA,42,"Atene","Atene",23.7275388,37.9838096
"122","Atene",5765,17,"Atene","PROPN","SP","_",14,"nmod","_","_",NA,NA,40,"Atene","Atene",23.7275388,37.9838096
"123","Atene",5765,17,"Atene","PROPN","SP","_",14,"nmod","_","_",NA,NA,41,"Atene","Atene",23.7275388,37.9838096
"124","Constantinopoli",5275,37,"Constantinopoli","PROPN","SP","_",35,"nmod","_","SpaceAfter=No",NA,NA,138,"Istanbul","Constantinopoli",28.9783589,41.0082376
"125","Egina",6316,19,"Egina","PROPN","SP","_",13,"nmod","_","_",NA,NA,74,"Egina","Egina",23.5014213,37.7408815
"126","Chios",6362,14,"Chios","PROPN","SP","_",12,"obl","_","SpaceAfter=No",NA,NA,57,"Chios","Chios",26.131006,38.368182
"127","Chios",6362,14,"Chios","PROPN","SP","_",12,"obl","_","SpaceAfter=No",NA,NA,56,"Chios","Chios",26.131006,38.368182
