"","lon","lat"
"1",NA,NA
"2",-80.0260665,40.518441
"3",NA,NA
"4",NA,NA
"5",NA,NA
"6",NA,NA
"7",NA,NA
"8",NA,NA
"9",NA,NA
"10",12.6556277,43.9866586
"11",NA,NA
"12",-111.7912254,33.3324308
"13",-111.7912254,33.3324308
"14",NA,NA
"15",NA,NA
"16",NA,NA
"17",-94.4174489,37.2383894
"18",NA,NA
"19",8.6116796,44.9072727
"20",8.6116796,44.9072727
"21",NA,NA
"22",8.6116796,44.9072727
"23",-95.9667772,36.135359
"24",NA,NA
"25",-95.9667772,36.135359
"26",-95.9667772,36.135359
"27",NA,NA
"28",-95.9667772,36.135359
"29",-95.9667772,36.135359
"30",-95.9667772,36.135359
"31",-95.9667772,36.135359
"32",-95.9667772,36.135359
"33",-95.9667772,36.135359
"34",-95.9667772,36.135359
"35",-95.9667772,36.135359
"36",-95.9667772,36.135359
"37",NA,NA
"38",-95.9667772,36.135359
"39",-95.9667772,36.135359
"40",-95.9667772,36.135359
"41",-95.9667772,36.135359
"42",-95.9667772,36.135359
"43",-95.9667772,36.135359
"44",-95.9667772,36.135359
"45",-95.9667772,36.135359
"46",NA,NA
"47",-95.9667772,36.135359
"48",-95.9667772,36.135359
"49",-95.9667772,36.135359
"50",-95.9667772,36.135359
"51",-95.9667772,36.135359
"52",-95.9667772,36.135359
"53",-95.9667772,36.135359
"54",-95.9667772,36.135359
"55",NA,NA
"56",-95.9667772,36.135359
"57",-95.9667772,36.135359
"58",-95.9667772,36.135359
"59",NA,NA
"60",-95.9667772,36.135359
"61",NA,NA
"62",14.6026805,40.6340026
"63",-89.108146,42.258839
"64",-89.108146,42.258839
"65",NA,NA
"66",NA,NA
"67",-89.108146,42.258839
"68",-89.108146,42.258839
"69",NA,NA
"70",NA,NA
"71",NA,NA
"72",-89.108146,42.258839
"73",-89.108146,42.258839
"74",NA,NA
"75",-89.108146,42.258839
"76",NA,NA
"77",-89.108146,42.258839
"78",-89.108146,42.258839
"79",-89.108146,42.258839
"80",-89.108146,42.258839
"81",-89.108146,42.258839
"82",-89.108146,42.258839
"83",NA,NA
"84",-93.7316662,36.3883721
"85",-93.7316662,36.3883721
"86",NA,NA
"87",NA,NA
"88",NA,NA
