"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1345","8","Paganino","Paganino","PROPN","SP","_","7","obj","_","SpaceAfter=No",,
"1366","28","Paganino","Paganino","PROPN","SP","_","26","obj","_","_",,
"1389","9","Riccardo","Riccardo","PROPN","SP","_","8","obj","_","SpaceAfter=No",,
"1430","4","Paganino","Paganino","PROPN","SP","_","8","nsubj","_","_",,
"1440","2","Messer","Messer","PROPN","SP","_","5","obl","_","SpaceAfter=No",,
"1635","4","Riccardo","Riccardo","PROPN","SP","_","3","nsubj","_","SpaceAfter=No",,
"1696","2","Adunque","Adunque","PROPN","SP","_","4","nsubj","_","SpaceAfter=No",,
"1699","5","Paganino","Paganino","PROPN","SP","_","4","xcomp","_","_",,
"1717","9","Paganino","Paganino","PROPN","SP","_","7","nmod","_","_",,
"1725","17","Paganino","Paganino","PROPN","SP","_","19","nsubj","_","_",,
"1744","36","Riccardo","Riccardo","PROPN","SP","_","35","obj","_","_",,
"1746","38","Paganino","Paganino","PROPN","SP","_","35","obl","_","_",,
"1755","47","Riccardo","Riccardo","PROPN","SP","_","43","advcl","_","_",,
"1766","58","Paganino","Paganino","PROPN","SP","_","55","nmod","_","_",,
"1849","2","Donna","donna","PROPN","SP","_","6","nsubj","_","SpaceAfter=No",,
"1908","10","Riccardo","Riccardo","PROPN","SP","_","9","nmod","_","SpaceAfter=No",,
"1971","2","Messere","Messere","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"2012","3","Riccardo","Riccardo","PROPN","SP","_","2","nsubj","_","SpaceAfter=No",,
"2046","16","Riccardo","Riccardo","PROPN","SP","_","9","ccomp","_","_",,
"2048","18","Chinzica","Chinzica","PROPN","SP","_","16","nmod","_","SpaceAfter=No",,
"2062","2","Messere","Messere","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"2117","3","Riccardo","Riccardo","PROPN","SP","_","0","root","_","_",,
"2125","11","Paganino","Paganino","PROPN","SP","_","9","nmod","_","SpaceAfter=No",,
"2150","9","Paganino","Paganino","PROPN","SP","_","5","obl","_","_",,
"2164","1","Paganin","Paganin","PROPN","SP","_","2","nsubj","_","_",,
"2225","11","Riccardo","Riccardo","PROPN","SP","_","1","nsubj","_","_",,
"2237","23","Riccardo","Riccardo","PROPN","SP","_","22","obj","_","_",,
"2265","21","Riccardo","Riccardo","PROPN","SP","_","20","nmod","_","_",,
"2344","19","Riccardo","Riccardo","PROPN","SP","_","18","obj","_","_",,
"2346","21","Chinzica","Chinzica","PROPN","SP","_","19","nmod","_","_",,
"2570","9","Idio","Idio","PROPN","SP","_","8","obj","_","_",,
"2750","59","Messer","Messer","PROPN","SP","_","5","obj","_","_",,
"2751","60","Riccardo","Riccardo","PROPN","SP","_","59","flat:name","_","SpaceAfter=No",,
"2831","17","Pisa","Pisa","PROPN","SP","_","19","fixed","_","_",,
"3100","12","Paganino","Paganino","PROPN","SP","_","10","nmod","_","_",,
"3103","15","Pisa","Pisa","PROPN","SP","_","17","obl","_","_",,
"3133","45","Paganino","Paganino","PROPN","SP","_","50","nsubj","_","_",,
"3372","48","Messer","Messer","PROPN","SP","_","15","nsubj","_","_",,
"3373","49","Riccardo","Riccardo","PROPN","SP","_","48","flat:name","_","SpaceAfter=No",,
"3410","84","Paganino","Paganino","PROPN","SP","_","81","nmod","_","_",,
"3435","15","Pisa","Pisa","PROPN","SP","_","17","obl","_","_",,
"3453","12","Pisa","Pisa","PROPN","SP","_","10","obl","_","SpaceAfter=No",,
"3502","3","Paganin","Paganin","PROPN","SP","_","4","nsubj","_","_",,
"3562","14","Bernabò","Bernabò","PROPN","SP","_","13","obj","_","_",,
"3565","17","Ambruogiuolo","Ambruogiuolo","PROPN","SP","_","18","obl","_","_",,
